,participant_condition,other_condition,user_id,other_id,question_content,sid,sentence_dur,nb_sentences
0,S,S,mkprolific_participant_real_31p2,mkprolific_participant_real_31p5,conversation_quality,mkprolific_participant_real_31,3.36656804733728,84.5
1,S,S,mkprolific_participant_real_31p2,mkprolific_participant_real_31p5,liked,mkprolific_participant_real_31,3.36656804733728,84.5
2,S,S,mkprolific_participant_real_31p2,mkprolific_participant_real_31p5,other_liked,mkprolific_participant_real_31,3.36656804733728,84.5
3,S,S,mkprolific_participant_real_31p2,mkprolific_participant_real_31p5,video_conf_quality,mkprolific_participant_real_31,3.36656804733728,84.5
4,S,S,mkprolific_participant_real_31p5,mkprolific_participant_real_31p2,conversation_quality,mkprolific_participant_real_31,7.357365269461078,83.5
5,S,S,mkprolific_participant_real_31p5,mkprolific_participant_real_31p2,liked,mkprolific_participant_real_31,7.357365269461078,83.5
6,S,S,mkprolific_participant_real_31p5,mkprolific_participant_real_31p2,other_liked,mkprolific_participant_real_31,7.357365269461078,83.5
7,S,S,mkprolific_participant_real_31p5,mkprolific_participant_real_31p2,video_conf_quality,mkprolific_participant_real_31,7.357365269461078,83.5
8,U,S,mkprolific_participant_real_31p2,mkprolific_participant_real_31p6,conversation_quality,mkprolific_participant_real_31,4.9028301886792445,79.5
9,U,S,mkprolific_participant_real_31p2,mkprolific_participant_real_31p6,liked,mkprolific_participant_real_31,4.9028301886792445,79.5
10,U,S,mkprolific_participant_real_31p2,mkprolific_participant_real_31p6,other_liked,mkprolific_participant_real_31,4.9028301886792445,79.5
11,U,S,mkprolific_participant_real_31p2,mkprolific_participant_real_31p6,video_conf_quality,mkprolific_participant_real_31,4.9028301886792445,79.5
12,S,U,mkprolific_participant_real_31p6,mkprolific_participant_real_31p2,conversation_quality,mkprolific_participant_real_31,7.716459627329195,80.5
13,S,U,mkprolific_participant_real_31p6,mkprolific_participant_real_31p2,liked,mkprolific_participant_real_31,7.716459627329195,80.5
14,S,U,mkprolific_participant_real_31p6,mkprolific_participant_real_31p2,other_liked,mkprolific_participant_real_31,7.716459627329195,80.5
15,S,U,mkprolific_participant_real_31p6,mkprolific_participant_real_31p2,video_conf_quality,mkprolific_participant_real_31,7.716459627329195,80.5
16,U,S,mkprolific_participant_real_31p3,mkprolific_participant_real_31p5,conversation_quality,mkprolific_participant_real_31,12.379637681159421,69.0
17,U,S,mkprolific_participant_real_31p3,mkprolific_participant_real_31p5,liked,mkprolific_participant_real_31,12.379637681159421,69.0
18,U,S,mkprolific_participant_real_31p3,mkprolific_participant_real_31p5,other_liked,mkprolific_participant_real_31,12.379637681159421,69.0
19,U,S,mkprolific_participant_real_31p3,mkprolific_participant_real_31p5,video_conf_quality,mkprolific_participant_real_31,12.379637681159421,69.0
20,S,U,mkprolific_participant_real_31p5,mkprolific_participant_real_31p3,conversation_quality,mkprolific_participant_real_31,4.298214285714285,70.0
21,S,U,mkprolific_participant_real_31p5,mkprolific_participant_real_31p3,liked,mkprolific_participant_real_31,4.298214285714285,70.0
22,S,U,mkprolific_participant_real_31p5,mkprolific_participant_real_31p3,other_liked,mkprolific_participant_real_31,4.298214285714285,70.0
23,S,U,mkprolific_participant_real_31p5,mkprolific_participant_real_31p3,video_conf_quality,mkprolific_participant_real_31,4.298214285714285,70.0
24,S,S,mkprolific_participant_real_31p3,mkprolific_participant_real_31p6,conversation_quality,mkprolific_participant_real_31,6.571972789115649,73.5
